SampleID	Sex	A	B	Location
F11Aptl	F	1	1	Aptl
F11Aptr	F	1	1	Aptr
F11Ewxl	F	1	1	Ewxl
F11Ewxr	F	1	1	Ewxr
F11Fcsp	F	1	1	Fcsp
F11Fcsw	F	1	1	Fcsw
F11Forl	F	1	1	Forl
F11Forr	F	1	1	Forr
F11Fotl	F	1	1	Fotl
F11Fotr	F	1	1	Fotr
F11Frhd	F	1	1	Frhd
F11Hair	F	1	1	Hair
F11Indl	F	1	1	Indl
F11Indr	F	1	1	Indr
F11Knel	F	1	1	Knel
F11Kner	F	1	1	Kner
F11Labi	F	1	1	Labi
F11Mout	F	1	1	Mout
F11Navl	F	1	1	Navl
F11Nose	F	1	1	Nose
F11Nstl	F	1	1	Nstl
F11Nstr	F	1	1	Nstr
F11Pinl	F	1	1	Pinl
F11Pinr	F	1	1	Pinr
F11Plml	F	1	1	Plml
F11Plmr	F	1	1	Plmr
F11Tong	F	1	1	Tong
F12Aptl	F	1	2	Aptl
F12Aptr	F	1	2	Aptr
F12Ewxl	F	1	2	Ewxl
F12Ewxr	F	1	2	Ewxr
F12Fcsp	F	1	2	Fcsp
F12Fcsw	F	1	2	Fcsw
F12Forl	F	1	2	Forl
F12Forr	F	1	2	Forr
F12Fotl	F	1	2	Fotl
F12Fotr	F	1	2	Fotr
F12Frhd	F	1	2	Frhd
F12Hair	F	1	2	Hair
F12Indl	F	1	2	Indl
F12Indr	F	1	2	Indr
F12Knel	F	1	2	Knel
F12Kner	F	1	2	Kner
F12Labi	F	1	2	Labi
F12Mout	F	1	2	Mout
F12Navl	F	1	2	Navl
F12Nose	F	1	2	Nose
F12Nstl	F	1	2	Nstl
F12Nstr	F	1	2	Nstr
F12Pinl	F	1	2	Pinl
F12Pinr	F	1	2	Pinr
F12Plml	F	1	2	Plml
F12Plmr	F	1	2	Plmr
F12Tong	F	1	2	Tong
F13Ewax	F	1	3	Ewax
F13Fcsw	F	1	3	Fcsw
F13Fotl	F	1	3	Fotl
F13Fotr	F	1	3	Fotr
F13Frhd	F	1	3	Frhd
F13Knee	F	1	3	Knee
F13Nost	F	1	3	Nost
F13Plml	F	1	3	Plml
F13Plmr	F	1	3	Plmr
F13Tong	F	1	3	Tong
F14Ewax	F	1	4	Ewax
F14Fcsw	F	1	4	Fcsw
F14Fotl	F	1	4	Fotl
F14Fotr	F	1	4	Fotr
F14Frhd	F	1	4	Frhd
F14Knee	F	1	4	Knee
F14Nost	F	1	4	Nost
F14Plml	F	1	4	Plml
F14Plmr	F	1	4	Plmr
F14Tong	F	1	4	Tong
F210A1	F	2	1	0A1
F210A2	F	2	1	0A2
F210A3	F	2	1	0A3
F210A4	F	2	1	0A4
F210H5	F	2	1	0H5
F210H6	F	2	1	0H6
F210H7	F	2	1	0H7
F210H8	F	2	1	0H8
F210T	F	2	1	0T
F212A1	F	2	1	2A1
F212A2	F	2	1	2A2
F212A3	F	2	1	2A3
F212A4	F	2	1	2A4
F212H5	F	2	1	2H5
F212H6	F	2	1	2H6
F212H7	F	2	1	2H7
F212H8	F	2	1	2H8
F214A1	F	2	1	4A1
F214A2	F	2	1	4A2
F214A3	F	2	1	4A3
F214A4	F	2	1	4A4
F214H5	F	2	1	4H5
F214H6	F	2	1	4H6
F214H7	F	2	1	4H7
F214H8	F	2	1	4H8
F218A1	F	2	1	8A1
F218A2	F	2	1	8A2
F218A3	F	2	1	8A3
F218A4	F	2	1	8A4
F218H5	F	2	1	8H5
F218H6	F	2	1	8H6
F218H7	F	2	1	8H7
F218H8	F	2	1	8H8
F21Aptl	F	2	1	Aptl
F21Aptr	F	2	1	Aptr
F21Ewxl	F	2	1	Ewxl
F21Ewxr	F	2	1	Ewxr
F21Fcsp	F	2	1	Fcsp
F21Fcsw	F	2	1	Fcsw
F21Forl	F	2	1	Forl
F21Forr	F	2	1	Forr
F21Fotl	F	2	1	Fotl
F21Fotr	F	2	1	Fotr
F21Frhd	F	2	1	Frhd
F21Hair	F	2	1	Hair
F21Indl	F	2	1	Indl
F21Indr	F	2	1	Indr
F21Knel	F	2	1	Knel
F21Kner	F	2	1	Kner
F21Labi	F	2	1	Labi
F21Mout	F	2	1	Mout
F21Navl	F	2	1	Navl
F21Nose	F	2	1	Nose
F21Nstl	F	2	1	Nstl
F21Nstr	F	2	1	Nstr
F21Pinr	F	2	1	Pinr
F21Plml	F	2	1	Plml
F21Plmr	F	2	1	Plmr
F21Tong	F	2	1	Tong
F220A1	F	2	2	0A1
F220A2	F	2	2	0A2
F220A3	F	2	2	0A3
F220A4	F	2	2	0A4
F220H5	F	2	2	0H5
F220H6	F	2	2	0H6
F220H7	F	2	2	0H7
F220H8	F	2	2	0H8
F220T	F	2	2	0T
F222A1	F	2	2	2A1
F222A2	F	2	2	2A2
F222A3	F	2	2	2A3
F222A4	F	2	2	2A4
F222H5	F	2	2	2H5
F222H6	F	2	2	2H6
F222H7	F	2	2	2H7
F222H8	F	2	2	2H8
F224A1	F	2	2	4A1
F224A2	F	2	2	4A2
F224A3	F	2	2	4A3
F224A4	F	2	2	4A4
F224H5	F	2	2	4H5
F224H6	F	2	2	4H6
F224H7	F	2	2	4H7
F224H8	F	2	2	4H8
F228A1	F	2	2	8A1
F228A2	F	2	2	8A2
F228A3	F	2	2	8A3
F228A4	F	2	2	8A4
F228H5	F	2	2	8H5
F228H6	F	2	2	8H6
F228H7	F	2	2	8H7
F228H8	F	2	2	8H8
F22Aptl	F	2	2	Aptl
F22Aptr	F	2	2	Aptr
F22Ewxl	F	2	2	Ewxl
F22Ewxr	F	2	2	Ewxr
F22Fcsp	F	2	2	Fcsp
F22Fcsw	F	2	2	Fcsw
F22Forl	F	2	2	Forl
F22Forr	F	2	2	Forr
F22Fotl	F	2	2	Fotl
F22Fotr	F	2	2	Fotr
F22Frhd	F	2	2	Frhd
F22Hair	F	2	2	Hair
F22Indl	F	2	2	Indl
F22Indr	F	2	2	Indr
F22Knel	F	2	2	Knel
F22Kner	F	2	2	Kner
F22Labi	F	2	2	Labi
F22Mout	F	2	2	Mout
F22Navl	F	2	2	Navl
F22Nose	F	2	2	Nose
F22Nstl	F	2	2	Nstl
F22Nstr	F	2	2	Nstr
F22Pinl	F	2	2	Pinl
F22Pinr	F	2	2	Pinr
F22Plml	F	2	2	Plml
F22Plmr	F	2	2	Plmr
F22Tong	F	2	2	Tong
F23Ewax	F	2	3	Ewax
F23Fcsw	F	2	3	Fcsw
F23Fotl	F	2	3	Fotl
F23Fotr	F	2	3	Fotr
F23Frhd	F	2	3	Frhd
F23Knee	F	2	3	Knee
F23Nost	F	2	3	Nost
F23Plml	F	2	3	Plml
F23Plmr	F	2	3	Plmr
F23Tong	F	2	3	Tong
F24Ewax	F	2	4	Ewax
F24Fcsw	F	2	4	Fcsw
F24Fotl	F	2	4	Fotl
F24Fotr	F	2	4	Fotr
F24Frhd	F	2	4	Frhd
F24Knee	F	2	4	Knee
F24Nost	F	2	4	Nost
F24Plml	F	2	4	Plml
F24Plmr	F	2	4	Plmr
F24Tong	F	2	4	Tong
F310A1	F	3	1	0A1
F310A2	F	3	1	0A2
F310A3	F	3	1	0A3
F310A4	F	3	1	0A4
F310H5	F	3	1	0H5
F310H6	F	3	1	0H6
F310H7	F	3	1	0H7
F310H8	F	3	1	0H8
F310T	F	3	1	0T
F312A1	F	3	1	2A1
F312A2	F	3	1	2A2
F312A3	F	3	1	2A3
F312A4	F	3	1	2A4
F312H5	F	3	1	2H5
F312H6	F	3	1	2H6
F312H7	F	3	1	2H7
F312H8	F	3	1	2H8
F314A1	F	3	1	4A1
F314A2	F	3	1	4A2
F314A3	F	3	1	4A3
F314A4	F	3	1	4A4
F314H5	F	3	1	4H5
F314H6	F	3	1	4H6
F314H7	F	3	1	4H7
F314H8	F	3	1	4H8
F318A1	F	3	1	8A1
F318A2	F	3	1	8A2
F318A3	F	3	1	8A3
F318A4	F	3	1	8A4
F318H5	F	3	1	8H5
F318H6	F	3	1	8H6
F318H7	F	3	1	8H7
F318H8	F	3	1	8H8
F31Aptl	F	3	1	Aptl
F31Aptr	F	3	1	Aptr
F31Ewxr	F	3	1	Ewxr
F31Fcsp	F	3	1	Fcsp
F31Fcsw	F	3	1	Fcsw
F31Forl	F	3	1	Forl
F31Forr	F	3	1	Forr
F31Fotl	F	3	1	Fotl
F31Fotr	F	3	1	Fotr
F31Frhd	F	3	1	Frhd
F31Hair	F	3	1	Hair
F31Indl	F	3	1	Indl
F31Indr	F	3	1	Indr
F31Knel	F	3	1	Knel
F31Kner	F	3	1	Kner
F31Labi	F	3	1	Labi
F31Mout	F	3	1	Mout
F31Nose	F	3	1	Nose
F31Nstl	F	3	1	Nstl
F31Nstr	F	3	1	Nstr
F31Pinl	F	3	1	Pinl
F31Pinr	F	3	1	Pinr
F31Plml	F	3	1	Plml
F31Plmr	F	3	1	Plmr
F31Tong	F	3	1	Tong
F320A1	F	3	2	0A1
F320A2	F	3	2	0A2
F320A3	F	3	2	0A3
F320A4	F	3	2	0A4
F320H5	F	3	2	0H5
F320H6	F	3	2	0H6
F320H7	F	3	2	0H7
F320H8	F	3	2	0H8
F320T	F	3	2	0T
F322A1	F	3	2	2A1
F322A2	F	3	2	2A2
F322A3	F	3	2	2A3
F322A4	F	3	2	2A4
F322H5	F	3	2	2H5
F322H6	F	3	2	2H6
F322H7	F	3	2	2H7
F322H8	F	3	2	2H8
F324A1	F	3	2	4A1
F324A2	F	3	2	4A2
F324A3	F	3	2	4A3
F324A4	F	3	2	4A4
F324H5	F	3	2	4H5
F324H6	F	3	2	4H6
F324H7	F	3	2	4H7
F324H8	F	3	2	4H8
F328A1	F	3	2	8A1
F328A2	F	3	2	8A2
F328A3	F	3	2	8A3
F328A4	F	3	2	8A4
F328H5	F	3	2	8H5
F328H6	F	3	2	8H6
F328H7	F	3	2	8H7
F328H8	F	3	2	8H8
F32Aptl	F	3	2	Aptl
F32Aptr	F	3	2	Aptr
F32Ewxl	F	3	2	Ewxl
F32Ewxr	F	3	2	Ewxr
F32Fcsp	F	3	2	Fcsp
F32Fcsw	F	3	2	Fcsw
F32Forl	F	3	2	Forl
F32Forr	F	3	2	Forr
F32Fotl	F	3	2	Fotl
F32Fotr	F	3	2	Fotr
F32Frhd	F	3	2	Frhd
F32Hair	F	3	2	Hair
F32Indl	F	3	2	Indl
F32Indr	F	3	2	Indr
F32Knel	F	3	2	Knel
F32Kner	F	3	2	Kner
F32Labi	F	3	2	Labi
F32Mout	F	3	2	Mout
F32Navl	F	3	2	Navl
F32Nose	F	3	2	Nose
F32Nstl	F	3	2	Nstl
F32Nstr	F	3	2	Nstr
F32Pinl	F	3	2	Pinl
F32Pinr	F	3	2	Pinr
F32Plml	F	3	2	Plml
F32Plmr	F	3	2	Plmr
F32Tong	F	3	2	Tong
F33Ewax	F	3	3	Ewax
F33Fcsw	F	3	3	Fcsw
F33Fotl	F	3	3	Fotl
F33Fotr	F	3	3	Fotr
F33Frhd	F	3	3	Frhd
F33Knee	F	3	3	Knee
F33Nost	F	3	3	Nost
F33Plml	F	3	3	Plml
F33Plmr	F	3	3	Plmr
F33Tong	F	3	3	Tong
F34Ewax	F	3	4	Ewax
F34Fcsw	F	3	4	Fcsw
F34Fotl	F	3	4	Fotl
F34Fotr	F	3	4	Fotr
F34Frhd	F	3	4	Frhd
F34Knee	F	3	4	Knee
F34Nost	F	3	4	Nost
F34Plml	F	3	4	Plml
F34Plmr	F	3	4	Plmr
F34Tong	F	3	4	Tong
M110A1	M	1	1	0A1
M110A2	M	1	1	0A2
M110A3	M	1	1	0A3
M110A4	M	1	1	0A4
M110H5	M	1	1	0H5
M110H6	M	1	1	0H6
M110H7	M	1	1	0H7
M110H8	M	1	1	0H8
M110T	M	1	1	0T
M112A1	M	1	1	2A1
M112A2	M	1	1	2A2
M112A3	M	1	1	2A3
M112A4	M	1	1	2A4
M112H5	M	1	1	2H5
M112H6	M	1	1	2H6
M112H7	M	1	1	2H7
M112H8	M	1	1	2H8
M114A1	M	1	1	4A1
M114A2	M	1	1	4A2
M114A3	M	1	1	4A3
M114A4	M	1	1	4A4
M114H5	M	1	1	4H5
M114H6	M	1	1	4H6
M114H7	M	1	1	4H7
M114H8	M	1	1	4H8
M118A1	M	1	1	8A1
M118A2	M	1	1	8A2
M118A3	M	1	1	8A3
M118A4	M	1	1	8A4
M118H5	M	1	1	8H5
M118H6	M	1	1	8H6
M118H7	M	1	1	8H7
M118H8	M	1	1	8H8
M11Aptl	M	1	1	Aptl
M11Aptr	M	1	1	Aptr
M11Ewxl	M	1	1	Ewxl
M11Fcsp	M	1	1	Fcsp
M11Fcsw	M	1	1	Fcsw
M11Forl	M	1	1	Forl
M11Forr	M	1	1	Forr
M11Fotl	M	1	1	Fotl
M11Fotr	M	1	1	Fotr
M11Frhd	M	1	1	Frhd
M11Glns	M	1	1	Glns
M11Hair	M	1	1	Hair
M11Indl	M	1	1	Indl
M11Indr	M	1	1	Indr
M11Knel	M	1	1	Knel
M11Kner	M	1	1	Kner
M11Mout	M	1	1	Mout
M11Navl	M	1	1	Navl
M11Nose	M	1	1	Nose
M11Nstl	M	1	1	Nstl
M11Nstr	M	1	1	Nstr
M11Pinl	M	1	1	Pinl
M11Pinr	M	1	1	Pinr
M11Plml	M	1	1	Plml
M11Plmr	M	1	1	Plmr
M11Tong	M	1	1	Tong
M120A1	M	1	2	0A1
M120A2	M	1	2	0A2
M120A3	M	1	2	0A3
M120A4	M	1	2	0A4
M120H5	M	1	2	0H5
M120H6	M	1	2	0H6
M120H7	M	1	2	0H7
M120H8	M	1	2	0H8
M120T	M	1	2	0T
M122A1	M	1	2	2A1
M122A2	M	1	2	2A2
M122A3	M	1	2	2A3
M122A4	M	1	2	2A4
M122H5	M	1	2	2H5
M122H6	M	1	2	2H6
M122H7	M	1	2	2H7
M122H8	M	1	2	2H8
M124A1	M	1	2	4A1
M124A2	M	1	2	4A2
M124A3	M	1	2	4A3
M124A4	M	1	2	4A4
M124H5	M	1	2	4H5
M124H6	M	1	2	4H6
M124H7	M	1	2	4H7
M124H8	M	1	2	4H8
M128A1	M	1	2	8A1
M128A2	M	1	2	8A2
M128A3	M	1	2	8A3
M128A4	M	1	2	8A4
M128H5	M	1	2	8H5
M128H6	M	1	2	8H6
M128H7	M	1	2	8H7
M128H8	M	1	2	8H8
M12Aptl	M	1	2	Aptl
M12Aptr	M	1	2	Aptr
M12Ewxl	M	1	2	Ewxl
M12Ewxr	M	1	2	Ewxr
M12Fcsp	M	1	2	Fcsp
M12Fcsw	M	1	2	Fcsw
M12Forl	M	1	2	Forl
M12Forr	M	1	2	Forr
M12Fotl	M	1	2	Fotl
M12Fotr	M	1	2	Fotr
M12Frhd	M	1	2	Frhd
M12Glns	M	1	2	Glns
M12Hair	M	1	2	Hair
M12Indl	M	1	2	Indl
M12Indr	M	1	2	Indr
M12Knel	M	1	2	Knel
M12Kner	M	1	2	Kner
M12Mout	M	1	2	Mout
M12Navl	M	1	2	Navl
M12Nose	M	1	2	Nose
M12Nstl	M	1	2	Nstl
M12Nstr	M	1	2	Nstr
M12Pinl	M	1	2	Pinl
M12Pinr	M	1	2	Pinr
M12Plml	M	1	2	Plml
M12Plmr	M	1	2	Plmr
M12Tong	M	1	2	Tong
M13Ewax	M	1	3	Ewax
M13Fcsw	M	1	3	Fcsw
M13Fotl	M	1	3	Fotl
M13Fotr	M	1	3	Fotr
M13Frhd	M	1	3	Frhd
M13Knee	M	1	3	Knee
M13Nost	M	1	3	Nost
M13Plml	M	1	3	Plml
M13Plmr	M	1	3	Plmr
M13Tong	M	1	3	Tong
M14Ewax	M	1	4	Ewax
M14Fcsw	M	1	4	Fcsw
M14Fotl	M	1	4	Fotl
M14Fotr	M	1	4	Fotr
M14Frhd	M	1	4	Frhd
M14Knee	M	1	4	Knee
M14Nost	M	1	4	Nost
M14Plml	M	1	4	Plml
M14Plmr	M	1	4	Plmr
M14Tong	M	1	4	Tong
M21Aptl	M	2	1	Aptl
M21Aptr	M	2	1	Aptr
M21Ewxl	M	2	1	Ewxl
M21Ewxr	M	2	1	Ewxr
M21Fcsp	M	2	1	Fcsp
M21Fcsw	M	2	1	Fcsw
M21Forl	M	2	1	Forl
M21Forr	M	2	1	Forr
M21Fotl	M	2	1	Fotl
M21Fotr	M	2	1	Fotr
M21Frhd	M	2	1	Frhd
M21Glns	M	2	1	Glns
M21Hair	M	2	1	Hair
M21Indl	M	2	1	Indl
M21Indr	M	2	1	Indr
M21Knel	M	2	1	Knel
M21Kner	M	2	1	Kner
M21Mout	M	2	1	Mout
M21Navl	M	2	1	Navl
M21Nose	M	2	1	Nose
M21Nstl	M	2	1	Nstl
M21Nstr	M	2	1	Nstr
M21Pinl	M	2	1	Pinl
M21Pinr	M	2	1	Pinr
M21Plml	M	2	1	Plml
M21Plmr	M	2	1	Plmr
M21Tong	M	2	1	Tong
M22Aptl	M	2	2	Aptl
M22Aptr	M	2	2	Aptr
M22Ewxl	M	2	2	Ewxl
M22Ewxr	M	2	2	Ewxr
M22Fcsp	M	2	2	Fcsp
M22Fcsw	M	2	2	Fcsw
M22Forl	M	2	2	Forl
M22Forr	M	2	2	Forr
M22Fotl	M	2	2	Fotl
M22Fotr	M	2	2	Fotr
M22Frhd	M	2	2	Frhd
M22Glns	M	2	2	Glns
M22Hair	M	2	2	Hair
M22Indl	M	2	2	Indl
M22Indr	M	2	2	Indr
M22Knel	M	2	2	Knel
M22Kner	M	2	2	Kner
M22Mout	M	2	2	Mout
M22Navl	M	2	2	Navl
M22Nose	M	2	2	Nose
M22Nstl	M	2	2	Nstl
M22Nstr	M	2	2	Nstr
M22Pinl	M	2	2	Pinl
M22Pinr	M	2	2	Pinr
M22Plml	M	2	2	Plml
M22Plmr	M	2	2	Plmr
M22Tong	M	2	2	Tong
M23Ewax	M	2	3	Ewax
M23Fcsw	M	2	3	Fcsw
M23Fotl	M	2	3	Fotl
M23Fotr	M	2	3	Fotr
M23Frhd	M	2	3	Frhd
M23Knee	M	2	3	Knee
M23Nost	M	2	3	Nost
M23Plml	M	2	3	Plml
M23Plmr	M	2	3	Plmr
M23Tong	M	2	3	Tong
M24Ewax	M	2	4	Ewax
M24Fcsw	M	2	4	Fcsw
M24Fotl	M	2	4	Fotl
M24Fotr	M	2	4	Fotr
M24Frhd	M	2	4	Frhd
M24Knee	M	2	4	Knee
M24Nost	M	2	4	Nost
M24Plml	M	2	4	Plml
M24Plmr	M	2	4	Plmr
M24Tong	M	2	4	Tong
M31Aptl	M	3	1	Aptl
M31Aptr	M	3	1	Aptr
M31Ewxl	M	3	1	Ewxl
M31Ewxr	M	3	1	Ewxr
M31Fcsp	M	3	1	Fcsp
M31Fcsw	M	3	1	Fcsw
M31Forl	M	3	1	Forl
M31Forr	M	3	1	Forr
M31Fotl	M	3	1	Fotl
M31Fotr	M	3	1	Fotr
M31Frhd	M	3	1	Frhd
M31Glns	M	3	1	Glns
M31Hair	M	3	1	Hair
M31Indl	M	3	1	Indl
M31Indr	M	3	1	Indr
M31Knel	M	3	1	Knel
M31Kner	M	3	1	Kner
M31Mout	M	3	1	Mout
M31Navl	M	3	1	Navl
M31Nose	M	3	1	Nose
M31Nstl	M	3	1	Nstl
M31Nstr	M	3	1	Nstr
M31Pinl	M	3	1	Pinl
M31Pinr	M	3	1	Pinr
